UserId,AttractionId,Rating,VisitMode,AttractionTypeId_x,CityId,CountryId,RegionId,ContinentId,season,month,year,user_total_visits,user_avg_rating,attraction_popularity,date
43688,640,5,3,63,8534.0,163,21,5,winter,12,2019,1,5.0,13198,2019-12-01
37159,640,3,3,63,2893.0,93,13,3,winter,12,2019,2,3.0,13198,2019-12-01
13815,640,4,2,63,2043.0,121,17,5,winter,12,2019,2,4.5,13198,2019-12-01
15747,640,4,2,63,114.0,22,4,1,winter,12,2019,2,4.0,13198,2019-12-01
83027,640,4,3,63,3551.0,106,14,3,winter,12,2019,2,4.0,13198,2019-12-01
61967,640,5,3,63,3667.0,108,14,3,winter,12,2019,1,5.0,13198,2019-12-01
43397,640,4,2,63,3551.0,106,14,3,winter,12,2019,1,4.0,13198,2019-12-01
62162,640,3,2,63,3551.0,106,14,3,winter,12,2019,1,3.0,13198,2019-12-01
46106,640,4,2,63,5135.0,109,15,4,winter,12,2019,1,4.0,13198,2019-12-01
67109,640,4,2,63,6129.0,131,17,5,winter,12,2019,1,4.0,13198,2019-12-01
52528,640,5,2,63,6424.0,141,19,5,winter,12,2019,1,5.0,13198,2019-12-01
22907,640,5,4,63,545.0,48,8,2,winter,12,2019,2,5.0,13198,2019-12-01
37425,640,5,5,63,2043.0,121,17,5,winter,12,2019,4,3.75,13198,2019-12-01
41203,640,5,2,63,1396.0,163,21,5,winter,12,2019,1,5.0,13198,2019-12-01
20065,640,5,2,63,535.0,109,15,4,winter,12,2019,1,5.0,13198,2019-12-01
73245,640,5,3,63,18.0,6,2,1,winter,12,2019,1,5.0,13198,2019-12-01
73646,640,4,5,63,337.0,163,21,5,winter,12,2019,2,4.5,13198,2019-12-01
84875,640,4,3,63,5516.0,115,16,4,winter,12,2019,9,3.7777777777777777,13198,2019-12-01
23629,640,4,3,63,3551.0,106,14,3,winter,12,2019,2,4.0,13198,2019-12-01
30759,640,3,3,63,4287.0,109,15,4,winter,12,2019,3,3.3333333333333335,13198,2019-12-01
1684,640,4,4,63,6740.0,148,20,5,winter,12,2019,3,3.6666666666666665,13198,2019-12-01
68604,640,5,2,63,3503.0,105,14,3,winter,12,2019,2,5.0,13198,2019-12-01
58348,640,5,2,63,3098.0,101,14,3,winter,12,2019,1,5.0,13198,2019-12-01
54465,640,5,4,63,6567.0,144,19,5,winter,12,2019,3,4.666666666666667,13198,2019-12-01
75591,640,4,2,63,6714.0,145,19,5,winter,12,2019,1,4.0,13198,2019-12-01
61160,640,4,3,63,535.0,109,15,4,autumn,11,2019,2,4.0,13198,2019-11-01
19406,640,4,2,63,337.0,163,21,5,winter,12,2019,1,4.0,13198,2019-12-01
69671,640,4,2,63,384.0,48,8,2,winter,12,2019,1,4.0,13198,2019-12-01
88159,640,4,2,63,8423.0,163,21,5,winter,12,2019,3,3.0,13198,2019-12-01
46158,640,5,3,63,4303.0,109,15,4,winter,12,2019,2,5.0,13198,2019-12-01
65716,640,5,3,63,2564.0,86,12,3,winter,12,2019,1,5.0,13198,2019-12-01
26929,640,5,2,63,3477.0,105,14,3,winter,12,2019,1,5.0,13198,2019-12-01
19138,640,5,2,63,785.0,51,8,2,autumn,11,2019,1,5.0,13198,2019-11-01
54930,640,5,2,63,453.0,51,8,2,winter,12,2019,1,5.0,13198,2019-12-01
22292,640,5,5,63,7868.0,162,21,5,winter,12,2019,1,5.0,13198,2019-12-01
61847,640,4,2,63,3915.0,109,15,4,winter,12,2019,1,4.0,13198,2019-12-01
39638,640,5,2,63,8112.0,163,21,5,winter,12,2019,1,5.0,13198,2019-12-01
75270,640,5,2,63,521.0,163,21,5,winter,12,2019,12,4.666666666666667,13198,2019-12-01
81565,640,5,2,63,8995.0,163,21,5,winter,12,2019,2,3.0,13198,2019-12-01
1286,640,4,4,63,4159.0,109,15,4,autumn,11,2019,1,4.0,13198,2019-11-01
21885,640,3,3,63,535.0,109,15,4,winter,12,2019,1,3.0,13198,2019-12-01
59594,640,4,2,63,7858.0,162,21,5,winter,12,2019,4,3.75,13198,2019-12-01
54832,640,5,2,63,520.0,48,8,2,winter,12,2019,2,5.0,13198,2019-12-01
62637,640,4,5,63,6642.0,145,19,5,winter,12,2019,3,4.333333333333333,13198,2019-12-01
66466,640,4,3,63,935.0,109,15,4,winter,12,2019,1,4.0,13198,2019-12-01
12514,640,5,3,63,4305.0,109,15,4,winter,12,2019,6,4.5,13198,2019-12-01
26721,640,3,2,63,8652.0,163,21,5,winter,12,2019,1,3.0,13198,2019-12-01
57888,640,5,2,63,1376.0,51,8,2,winter,12,2019,1,5.0,13198,2019-12-01
59214,640,5,5,63,545.0,48,8,2,winter,12,2019,3,5.0,13198,2019-12-01
16818,640,5,3,63,1434.0,109,15,4,winter,12,2019,5,3.6,13198,2019-12-01
35966,640,4,4,63,1434.0,109,15,4,winter,12,2019,3,4.0,13198,2019-12-01
